pLivr,dateCreation,article_id,filiere,desiArticle,dPr,ctrPr,qteOrdre,prixCmd,prixNet,annee,mois,dateCRD,hierarchi3,hierarchi2,hie3_2,hie_filiere,pExp,paysClient,clientDesignation,clientLivr,Gest,AS,ZDis
4,2021-02-16,M523.Q7048.000.30,RECHANGE_AIRBUS,KIT LATERAL TOE EXTENSION,0,AEMAREC,1,0.0,0.0,2022,2,2022-02-15,RAMPE A400M,RECHANGE AIRBUS,RAMPE A400M-RECHANGE AIRBUS,RAMPE A400M-RECHANGE_AIRBUS,Z2,,,20202,RYU,40.0,Z4
4,2020-12-02,M521.10391.200.00,USINAGE,SLIPRESISTANT TAPE,30,AEMAREC,7,0.0,0.0,2023,11,2023-11-15,A400M,USINAGE,A400M-USINAGE,A400M-USINAGE,NX02,,,20202,RQM,,Z4
0,2020-12-03,M523.77041.200.00,PE_SE_MEC,VOLET DE TOE,98,AEMAWPRAM,7,6102.53,871.79,2022,7,2022-07-01,RAMPE A400M,RECHANGE AIRBUS,RAMPE A400M-RECHANGE AIRBUS,RAMPE A400M-PE_SE_MEC,Z2,,,20202,RQD,,Z4
0,2021-04-16,M523.77968.002.00,RECHANGE_AIRBUS,FLOOR PANEL ASSY,60,AEMAWPRAM,2,25735.12,12867.56,2022,3,2022-03-18,RAMPE A400M,RECHANGE AIRBUS,RAMPE A400M-RECHANGE AIRBUS,RAMPE A400M-RECHANGE_AIRBUS,Z2,,,20202,RYU,40.0,Z4
4,2021-04-16,M523.77968.002.00,RECHANGE_AIRBUS,FLOOR PANEL ASSY,60,AEMAWPRAM,2,25735.12,12867.56,2022,2,2022-02-08,RAMPE A400M,RECHANGE AIRBUS,RAMPE A400M-RECHANGE AIRBUS,RAMPE A400M-RECHANGE_AIRBUS,Z2,,,20202,RYU,40.0,Z4
0,2021-04-20,M539.19801.000.00,PE_SE_TOLE,SUPPORT EQUIPE,98,AESAREC,1,307.7,307.7,2022,2,2022-02-02,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQD,,Z4
0,2021-04-20,M539.19801.000.00,PE_SE_TOLE,SUPPORT EQUIPE,98,AESAREC,2,615.4,307.7,2022,3,2022-03-16,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQD,,Z4
0,2021-04-20,M539.19801.000.00,PE_SE_TOLE,SUPPORT EQUIPE,98,AESAREC,1,307.7,307.7,2022,3,2022-03-23,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQD,,Z4
0,2021-04-20,M539.19801.000.00,PE_SE_TOLE,SUPPORT EQUIPE,98,AESAREC,1,307.7,307.7,2022,3,2022-03-23,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQD,,Z4
0,2021-05-07,M874.36302.000.00,PE_SE_TUYAU,RAMP ASSY,182,AEMAREC,1,62.56,62.56,2022,4,2022-04-19,A400M,TUBES & PIPES,A400M-TUBES & PIPES,A400M-PE_SE_TUYAU,NX02,,,20202,RQM,,Z4
0,2021-05-07,M539.10838.200.00,PE_SE_MEC_PROF,JOINT,84,AEMAREC,1,111.52,111.52,2022,2,2022-02-02,A400M,PROFILES,A400M-PROFILES,A400M-PE_SE_MEC_PROF,NX02,,,20202,RQB,,Z4
0,2021-05-07,M531.19601.002.00,PE_SE_MEC,Nv SUPPORT Eq C7C6 G,112,AEMAREC,1,156.2,156.2,2022,4,2022-04-04,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19601.002.00,PE_SE_MEC,Nv SUPPORT Eq C7C6 G,112,AEMAREC,1,156.2,156.2,2022,4,2022-04-19,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19609.200.00,PE_SE_MEC,SUPPORT ARRIERE C4 G,182,AEMAREC,1,159.83,159.83,2022,4,2022-04-04,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19609.200.00,PE_SE_MEC,SUPPORT ARRIERE C4 G,182,AEMAREC,1,159.83,159.83,2022,4,2022-04-19,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19608.201.00,PE_SE_MEC,SUPPORT AVANT C5 D,182,AEMAREC,1,156.81,156.81,2022,4,2022-04-04,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19608.201.00,PE_SE_MEC,SUPPORT AVANT C5 D,182,AEMAREC,1,156.81,156.81,2022,4,2022-04-19,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
0,2021-05-07,M531.19610.200.00,PE_SE_MEC,SUPPORT ARRIERE C6 D,182,AEMAREC,1,173.56,173.56,2022,4,2022-04-06,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQM,,Z4
